rank,references_file_count,repo,mainLanguage,stars,forks,commits,contributors
412,8,gitarbor/gitarbor-tui,TypeScript,37,3,149.0,1.0
413,8,paralleldrive/aidd,JavaScript,292,21,240.0,8.0
414,8,gmo-internet/conoha_vps_mcp,TypeScript,22,5,450.0,4.0
415,8,piercelamb/deep-plan,Python,43,8,21.0,1.0
416,8,huangrt01/CS-Notes,Python,3947,484,819.0,4.0
417,8,holon-run/holon,Go,78,6,472.0,4.0
418,8,piercelamb/deep-implement,Python,15,4,26.0,1.0
419,8,hexianWeb/Third-Person-MC,JavaScript,45,9,289.0,4.0
420,8,codemie-ai/codemie-code,TypeScript,162,32,233.0,19.0
421,8,OpenBB-finance/backends-for-openbb,Python,159,48,371.0,10.0
422,8,dotnet/sdk,C#,3070,1217,112073.0,979.0
423,8,VoltAgent/voltagent,TypeScript,6723,656,1652.0,61.0
424,8,emlopezr/trackwatch,TypeScript,15,0,324.0,3.0
425,8,Zhen-Bo/pragmatic-clean-code-reviewer,Python,101,8,4.0,1.0
426,8,SudoMaker/rEFui,JavaScript,83,2,543.0,1.0
427,8,seiggy/lucia-dotnet,C#,38,5,214.0,3.0
428,8,kreuzberg-dev/kreuzberg,Rust,6704,318,3821.0,27.0
429,8,dotnet/extensions,C#,3126,858,2462.0,134.0
430,8,microwind/design-patterns,Java,101,21,300.0,3.0
431,8,dotnet/aspnetcore,C#,37777,10602,55993.0,1553.0
432,8,dongbeixiaohuo/writing-agent,JavaScript,109,29,35.0,1.0
433,8,nold-ai/specfact-cli,Python,13,1,338.0,3.0
434,7,pacaplan/agent-gauntlet,TypeScript,19,1,730.0,2.0
435,7,ops0-ai/oxid,Rust,16,2,35.0,4.0
436,7,ruaan-deysel/ha-actronair-neo,Python,19,3,407.0,4.0
437,7,ktnyt/cclsp,TypeScript,588,45,139.0,8.0
438,7,khoj-ai/pipali,TypeScript,42,11,428.0,3.0
439,7,byt3bl33d3r/figaro,Python,81,5,42.0,1.0
440,7,btahir/react-tourlight,TypeScript,19,0,36.0,1.0
441,7,atlanhq/application-sdk,Python,24,13,339.0,37.0
442,7,openstatusHQ/data-table-filters,TypeScript,1882,114,126.0,9.0
443,7,RipeSeed/rs-tunnel,TypeScript,12,2,22.0,2.0
444,7,attunehq/hurry,Rust,46,2,248.0,3.0
445,7,openteams-lab/openteams,Rust,73,5,1781.0,53.0
446,7,rand/cc-polymath,Python,80,5,158.0,2.0
447,7,itxaiohanglover/mcp-codestyle-server,Java,48,7,109.0,8.0
448,7,adobe/spectrum-web-components,TypeScript,1493,244,5141.0,140.0
449,7,thefrederiksen/cc-director,C#,83,10,281.0,2.0
450,7,shinyorg/mauiplatforms,C#,21,3,284.0,3.0
451,7,Redth/MauiDevFlow,C#,43,8,221.0,6.0
452,7,btahir/react-kino,TypeScript,177,7,72.0,1.0
453,7,norahe0304-art/30x-seo,Python,11,5,25.0,1.0
454,7,mckinsey/vizro,Python,3632,254,1149.0,39.0
455,7,getsentry/sentry-javascript,TypeScript,8602,1756,13437.0,670.0
456,7,hhszzzz/MingAI,TypeScript,17,5,276.0,1.0
457,7,peterrichards-lr/liferay-fragments,JavaScript,11,7,191.0,1.0
458,7,local-falcon/mcp,TypeScript,15,3,171.0,5.0
459,7,cofy-x/deck,TypeScript,11,2,22.0,1.0
460,7,paperclipai/paperclip,TypeScript,23319,3083,999.0,41.0
461,7,stoneforge-ai/stoneforge,TypeScript,66,13,611.0,2.0
462,7,BuildGreatProducts/plaid,JavaScript,17,3,33.0,2.0
463,7,BulloRosso/etienne,TypeScript,16,2,409.0,2.0
464,7,Redth/Maui.Gtk,C#,85,2,149.0,1.0
465,7,boundless-xyz/boundless,Rust,195,167,1285.0,27.0
466,7,openaeon/OpenAEON,TypeScript,14,1,15.0,1.0
467,7,hopps-app/hopps,TypeScript,38,2,827.0,23.0
468,7,countbot-ai/CountBot,Python,208,35,82.0,3.0
469,7,microsoft/playwright-cli,TypeScript,5497,215,53.0,9.0
470,7,microsoft/waza,Go,14,8,606.0,10.0
471,7,spearwolf/signalize,TypeScript,31,1,468.0,2.0
472,7,spences10/sveltest,TypeScript,103,7,1338.0,10.0
473,7,maksimzayats/fastdjango,Python,191,36,1986.0,3.0
474,7,mem0ai/mem0,Python,49836,5568,1923.0,260.0
475,7,GoPlausible/algorand-mcp,TypeScript,41,18,239.0,2.0
476,7,colonyops/hive,Go,19,3,203.0,5.0
477,7,tyler-technologies-oss/forge,TypeScript,65,33,1014.0,31.0
478,7,HugoRCD/evlog,TypeScript,823,24,299.0,19.0
479,7,FishPiOffical/tiaoom,TypeScript,17,13,455.0,7.0
480,7,duckduckgo/content-scope-scripts,JavaScript,64,31,1529.0,44.0
481,7,KashyapTan/Xpdite,Python,11,3,216.0,1.0
482,7,rocky-linux/rockylinux.org,TypeScript,32,24,1218.0,22.0
483,7,Agents2AgentsAI/ata,Rust,67,3,4843.0,374.0
484,7,walterra/eddoapp,TypeScript,54,4,484.0,3.0
485,6,senweaver/senweaver-ide,TypeScript,15,0,63.0,4.0
486,6,amiable-dev/llm-council,Python,13,5,291.0,2.0
487,6,WHQ25/agent-canvas,JavaScript,10,0,48.0,1.0
488,6,faidd/faidd,TypeScript,12,0,57.0,1.0
489,6,moeru-ai/xsai,TypeScript,600,51,713.0,26.0
490,6,NVIDIA/nv-cloud-function-helpers,Python,18,8,62.0,8.0
491,6,sopaco/cortex-mem,Rust,204,11,465.0,3.0
492,6,finos/morphir,Rust,184,64,4246.0,61.0
493,6,dynatrace-oss/dtctl,Go,83,16,274.0,13.0
494,6,didi/mpx,JavaScript,3878,391,12824.0,121.0
495,6,neondatabase/better-env,TypeScript,18,0,31.0,1.0
496,6,microsoft/vscode-copilot-chat,TypeScript,9612,1727,3332.0,104.0
497,6,gtmagents/gtm-agents,Python,115,17,18.0,2.0
498,6,philschmid/ia-agents,TypeScript,25,4,10.0,1.0
499,6,Project-N-E-K-O/N.E.K.O,Python,781,103,802.0,29.0
500,6,langchain4j/langchain4j,Java,11111,2032,3101.0,365.0
501,6,hoangsonww/SymptomSync-Health-App,TypeScript,23,5,224.0,3.0
502,6,NJX-njx/opensoul,TypeScript,42,5,189.0,7.0
503,6,vercel/microfrontends,TypeScript,34,9,37.0,6.0
504,6,Fu-Jie/openwebui-extensions,Python,112,9,802.0,6.0
505,6,openshift/lightspeed-operator,Go,11,39,2359.0,35.0
506,6,Xray-App/xray-code-snippets,Python,27,11,108.0,6.0
507,6,DyHex/POMWright,TypeScript,54,8,240.0,5.0
508,6,purrgrammer/grimoire,TypeScript,28,10,447.0,6.0
509,6,Xmaster6y/tdhook,Python,11,0,91.0,2.0
510,6,UiPath/uipath-dev-python,TypeScript,13,1,248.0,5.0
511,6,rohitg00/kubectl-mcp-server,Python,849,166,127.0,7.0
512,6,juxt/allium,JavaScript,81,7,68.0,2.0
513,6,avivsinai/langfuse-mcp,Python,64,18,97.0,2.0
514,6,jmagar/unraid-mcp,Python,42,23,115.0,2.0
515,6,jmagly/aiwg,TypeScript,97,14,648.0,4.0
516,6,jacobcwright/open-animate,TypeScript,19,1,135.0,2.0
517,6,Qredence/agentic-fleet,Python,92,10,780.0,9.0
518,6,RANDSUM/randsum,TypeScript,12,1,1079.0,4.0
519,6,team-attention/agent-council,JavaScript,115,23,16.0,2.0
520,6,cablate/mcp-google-map,TypeScript,193,59,77.0,9.0
521,6,axtonliu/smart-illustrator,TypeScript,407,57,61.0,1.0
522,6,axiomhq/cli,Go,54,12,373.0,12.0
523,6,CoplayDev/unity-mcp,C#,7039,843,1004.0,43.0
524,6,andyoucreate/rilaykit,TypeScript,13,1,214.0,2.0
525,6,qtalen/agentic-ai-playground,Python,35,8,78.0,1.0
526,6,Red-Hat-AI-Innovation-Team/sdg_hub,JavaScript,122,51,330.0,28.0
527,6,andrewyng/context-hub,JavaScript,6050,571,132.0,15.0
528,6,benbjohnson/litestream,Go,13338,346,611.0,24.0
529,6,goorm-dev/vapor-ui,TypeScript,33,10,414.0,15.0
530,6,tmc/it2,Go,26,2,338.0,1.0
531,6,mangiapanejohn-dev/Resonix-AG,TypeScript,26,0,12909.0,749.0
532,6,nuxt-content/nuxt-studio,TypeScript,644,99,487.0,44.0
533,6,EvotecIT/PSPublishModule,C#,41,13,2079.0,5.0
534,6,skypilot-org/skypilot,Python,9572,991,4841.0,230.0
535,6,toss/react-simplikit,TypeScript,299,64,313.0,37.0
536,6,google-gemini/gemini-cli,TypeScript,97734,12256,5297.0,577.0
537,6,lambdaclass/ethlambda,Rust,71,13,152.0,4.0
538,6,skforecast/skforecast,Python,1463,184,5910.0,28.0
539,5,dcramer/ash,Python,59,2,753.0,1.0
540,5,Array-Ventures/coworker,TypeScript,14,7,105.0,3.0
541,5,understudy-ai/understudy,TypeScript,226,12,14.0,2.0
542,5,alphavantage/alpha_vantage_mcp,Python,100,24,134.0,4.0
543,5,microsoft/PowerToys,C#,130508,7775,8955.0,607.0
544,5,softaworks/gepetto,Python,21,1,9.0,2.0
545,5,ZhangHanDong/agent-spec,Rust,72,6,27.0,1.0
546,5,Yayasan-Digital-Islami-Indonesia/quran-api-go,Go,22,14,48.0,8.0
547,5,vinkius-labs/vurb.ts,TypeScript,207,15,233.0,1.0
548,5,wukongrobot/wukongbot,TypeScript,14,0,14.0,1.0
549,5,piercelamb/deep-project,Python,29,5,16.0,1.0
550,5,asheshgoplani/agent-deck,Go,1523,153,1042.0,39.0
551,5,agentset-ai/agentset,TypeScript,1915,168,812.0,6.0
552,5,pacphi/sindri,Rust,11,6,386.0,3.0
553,5,Kong/kongctl,Go,13,13,547.0,12.0
554,5,LazyAGI/LazyLLM,Python,3747,364,934.0,43.0
555,5,jnarowski/agentcmd,TypeScript,14,5,177.0,3.0
556,5,0xSero/vllm-studio,TypeScript,289,23,258.0,1.0
557,5,tdimino/bg3se-macos,C,27,5,196.0,2.0
558,5,izumin5210/gqlkit,TypeScript,28,0,266.0,3.0
559,5,kromahlusenii-ops/ham,JavaScript,25,1,50.0,2.0
560,5,originator-profile/originator-profile,TypeScript,10,0,1880.0,22.0
561,5,ouro-ai-labs/ouro,Python,31,4,181.0,2.0
562,5,baidu-baige/LoongFlow,Python,376,43,40.0,6.0
563,5,janekbaraniewski/openusage,Go,11,1,69.0,2.0
564,5,supermemoryai/supermemory,TypeScript,16921,1682,1461.0,71.0
565,5,guqiong96/Lsglang,Python,42,4,10554.0,1184.0
566,5,Jovancoding/Network-AI,TypeScript,20,7,224.0,5.0
567,5,comarkdown/comark,TypeScript,260,5,191.0,6.0
568,5,permitio/docs,JavaScript,15,33,2411.0,57.0
569,5,castorini/ragnarok,Python,63,9,77.0,3.0
570,5,callstackincubator/ai,TypeScript,1220,41,168.0,10.0
571,5,castorini/umbrela,Python,54,8,91.0,3.0
572,5,letta-ai/letta-code,TypeScript,1847,186,1411.0,24.0
573,5,victorGPT/vibeusage,JavaScript,102,7,1237.0,1.0
574,5,microsoft/FluidFramework,TypeScript,4919,570,24028.0,277.0
575,5,solana-foundation/kora,Rust,160,241,327.0,9.0
576,5,sorryhyun/DiPeO,Python,12,2,1532.0,3.0
577,5,go-mizu/mizu,Go,45,3,1862.0,2.0
578,5,netease-youdao/LobsterAI,TypeScript,3938,453,370.0,18.0
579,5,JarvusInnovations/hologit,JavaScript,20,2,1068.0,3.0
580,5,sgl-project/sglang,Python,24453,4817,10589.0,1191.0
581,5,kipeum86/contract-review-agent,Python,10,1,31.0,4.0
582,5,sandros94/unjwt,TypeScript,29,0,254.0,3.0
583,5,resend/react-email,TypeScript,18183,936,2096.0,183.0
584,5,wieslawsoltes/XamlToCSharpGenerator,C#,15,2,355.0,1.0
585,5,aifuxi/fuxiaochen,TypeScript,440,61,970.0,1.0
586,5,adityamparikh/maven-to-gradle,Python,11,1,9.0,1.0
587,5,rawgroundbeef/OpenFacilitator,TypeScript,16,16,481.0,2.0
588,5,drn/dots,Go,23,4,2484.0,3.0
589,5,desplega-ai/qa-use,TypeScript,13,2,174.0,4.0
590,5,L-Blondy/up-fetch,TypeScript,1386,17,1008.0,4.0
591,5,buildoak/agent-mux,TypeScript,28,6,28.0,1.0
592,5,PlayFab/gsdk,C++,165,118,217.0,35.0
593,5,malue-ai/dazee-small,Python,30,0,193.0,9.0
594,5,mikeyobrien/ralph-orchestrator,Rust,2181,217,438.0,23.0
595,5,tobihagemann/turbo,Python,22,1,60.0,1.0
596,5,letta-ai/letta,Python,21577,2264,7287.0,153.0
597,5,chdb-io/chdb,Python,2639,106,3177.0,17.0
598,4,SprocketLab/slop-code-bench,Python,19,2,56.0,1.0
599,4,andfanilo/streamlit-echarts,Python,596,72,128.0,9.0
600,4,wemake-services/django-modern-rest,Python,748,74,550.0,55.0
601,4,aiming-lab/SimpleMem,Python,3188,311,57.0,13.0
602,4,Yangchengshuai/Aerotri-Web,JavaScript,15,5,91.0,3.0
603,4,aliyun/alibabacloud-dms-mcp-server,Python,30,15,171.0,9.0
604,4,frmlabz/frm-stack,TypeScript,26,4,35.0,1.0
605,4,ArcInstitute/SRAgent,Python,159,32,366.0,1.0
606,4,robinfaraj/one-context,TypeScript,33,5,18.0,1.0
607,4,vinta/hal-9000,Python,109,20,1187.0,2.0
608,4,mghasemi/Irene,Python,15,1,67.0,1.0
609,4,eosphoros-ai/DB-GPT,Python,18260,2570,3289.0,171.0
610,4,espennilsen/pi,TypeScript,25,0,181.0,1.0
611,4,fabianocruz/assistente-compras-ifood,Python,24,4,4.0,2.0
612,4,nex-agi/NexAU,Python,50,10,357.0,17.0
613,4,diodeinc/pcb,Rust,192,26,734.0,13.0
614,4,diskd-ai/ccbox,Rust,32,1,95.0,1.0
615,4,eigent-ai/eigent,TypeScript,12993,1494,2151.0,63.0
616,4,draco-agent/tech-news-digest,Python,36,8,201.0,2.0
617,4,meta-pytorch/OpenEnv,Python,1250,199,1372.0,60.0
618,4,minorcell/memo-code,TypeScript,17,1,469.0,1.0
619,4,fazil47/wgpu-renderer,Rust,42,2,215.0,1.0
620,4,Balneario-de-Cofrentes/notion-cli-agent,TypeScript,54,8,53.0,6.0
621,4,HolmesGPT/holmesgpt,Python,1972,258,1256.0,53.0
622,4,HazelnutParadise/insyra,Go,52,2,1559.0,7.0
623,4,mehdic/bazinga,Python,19,0,566.0,3.0
624,4,gentleeduck/duck-ui,TypeScript,43,4,2045.0,9.0
625,4,vercel/flags,TypeScript,572,67,250.0,21.0
626,4,vercel/next-forge,TypeScript,6969,642,1488.0,61.0
627,4,MeteoraAg/meteora-invent,TypeScript,30,31,330.0,10.0
628,4,Canner/wren-engine,Java,563,167,1245.0,28.0
629,4,commet-labs/commet,TypeScript,26,0,455.0,4.0
630,4,cybozu/prompt-hardener,Python,47,6,190.0,4.0
631,4,GoogleCloudPlatform/db-context-enrichment,Go,24,5,86.0,7.0
632,4,manthanabc/paws,Rust,11,2,2420.0,30.0
633,4,mailhexu/TB2J,Python,92,36,664.0,6.0
634,4,trsoliu/mini-wiki,Python,46,1,29.0,1.0
635,4,d2learn/xlings,C++,572,44,364.0,4.0
636,4,ondata/ckan-mcp-server,TypeScript,25,6,459.0,3.0
637,4,ncoevoet/facet,Python,67,6,109.0,2.0
638,4,mono424/spooky,TypeScript,17,0,548.0,2.0
639,4,GGPrompts/TFE,Go,12,1,233.0,1.0
640,4,noxonsu/unifactory,TypeScript,23,46,601.0,11.0
641,4,castorini/nuggetizer,Python,24,3,99.0,4.0
642,4,nrslib/takt,TypeScript,763,43,860.0,12.0
643,4,IgniteUI/igniteui-webcomponents,TypeScript,166,10,2081.0,46.0
644,4,sinedied/sympakt,TypeScript,26,1,60.0,1.0
645,4,simplaix/simplaix-gateway,TypeScript,121,21,11.0,1.0
646,4,shinpr/mcp-local-rag,TypeScript,163,31,205.0,3.0
647,4,IceHugh/btc-connect,TypeScript,18,7,73.0,1.0
648,4,Ibrahim-3d/conductor-orchestrator-superpowers,Python,275,30,18.0,1.0
649,4,streamlit/streamlit,Python,43886,4136,9321.0,319.0
650,4,Azure99/BlossomData,Python,28,3,179.0,1.0
651,4,thim81/openapi-format,JavaScript,154,23,405.0,20.0
652,4,letta-ai/lettabot,TypeScript,270,63,425.0,21.0
653,4,kubb-labs/fabric,TypeScript,16,2,595.0,9.0
654,4,suzuki3jp/PlaylistWizard,TypeScript,13,3,1008.0,4.0
655,4,attilaszasz/sdd-pilot,TypeScript,37,1,135.0,1.0
656,4,ixugo/goddd,Go,37,2,134.0,2.0
657,4,Remy349/shadcn-ui-multi-form,TypeScript,58,3,405.0,1.0
658,4,telagod/code-abyss,JavaScript,104,10,91.0,2.0
659,4,jaredpalmer/agentik,TypeScript,16,1,74.0,2.0
660,4,apache/fory,Java,4278,403,1884.0,133.0
661,4,anthony-maio/mnemos,Python,10,0,49.0,1.0
662,4,apify/apify-docs,JavaScript,62,176,3800.0,127.0
663,4,jordanhubbard/loom,Go,95,11,1159.0,5.0
664,4,jiangzhe/doradb,Rust,118,3,245.0,2.0
665,4,LerianStudio/ring,Python,135,15,1834.0,16.0
666,4,ssssota/chapplin,TypeScript,16,2,144.0,4.0
667,4,joeseesun/qiaomu-mondo-poster-design,Python,460,42,7.0,1.0
668,4,Maksandre/w3wallets,TypeScript,73,14,51.0,4.0
669,4,ash-ai-org/ash-ai,TypeScript,28,1,137.0,3.0
670,4,runtime-env/runtime-env,TypeScript,43,2,590.0,6.0
671,4,artsy/positron,TypeScript,85,39,5709.0,79.0
672,4,wistrand/melker,TypeScript,13,0,476.0,1.0
673,4,0xPlaygrounds/rig,Rust,6497,703,942.0,167.0
674,4,0MeMo07/Quran-Web-Application,TypeScript,11,3,43.0,1.0
675,4,SpartanLabsXyz/simmer-sdk,Python,33,10,322.0,4.0
676,3,bradautomates/head-of-content,Python,37,7,7.0,1.0
677,3,cloudflare/cloudflare-prometheus-exporter,TypeScript,141,13,24.0,7.0
678,3,cloudflare/vinext,TypeScript,6724,236,320.0,47.0
679,3,coltonbatts/VCR,Rust,21,0,148.0,1.0
680,3,crafter-station/elements,TypeScript,403,22,433.0,7.0
681,3,victorgarciaesgi/nuxt-typed-router,TypeScript,413,16,392.0,16.0
682,3,vikasprogrammer/walkie,JavaScript,235,25,37.0,3.0
683,3,TencentBlueKing/bk-weweb,TypeScript,10,3,45.0,2.0
684,3,wasp-lang/wasp,TypeScript,18184,1433,2690.0,112.0
685,3,creatify-ai/ad-creative-evaluator,Python,19,0,3.0,1.0
686,3,creatify-ai/video-ad-reverse-engineer,Python,20,0,2.0,1.0
687,3,PlayersCommittee/gemp-swccg-public,Java,30,35,1013.0,22.0
688,3,cyl19970726/poly-sdk,TypeScript,1262,363,98.0,2.0
689,3,daloopa/investing,Python,353,81,25.0,3.0
690,3,bitflight-devops/github-action-readme-generator,TypeScript,27,13,591.0,9.0
691,3,Phala-Network/phala-cloud,TypeScript,13,6,975.0,19.0
692,3,digitarald/mcp-apps-playground,TypeScript,61,12,8.0,1.0
693,3,dileet/ecco,TypeScript,12,0,315.0,1.0
694,3,dirien/minectl,Go,179,9,667.0,10.0
695,3,ubie-oss/terraform-provider-lightdash,Go,17,4,350.0,4.0
696,3,upstash/context7,TypeScript,49043,2313,736.0,114.0
697,3,ThinkInAIXYZ/deepchat,TypeScript,5583,641,2686.0,61.0
698,3,Tiberriver256/mcp-server-azure-devops,TypeScript,346,116,229.0,14.0
699,3,vercel-labs/autoship,TypeScript,150,8,16.0,1.0
700,3,AizenvoltPrime/damocles,TypeScript,46,3,253.0,1.0
701,3,Alan-512/AI-vision-studio,TypeScript,11,2,113.0,2.0
702,3,dojoengine/torii,Rust,10,5,1234.0,36.0
703,3,dotnet/maui,C#,23210,1926,19232.0,690.0
704,3,aztfmod/terraform-provider-azurecaf,Go,183,100,539.0,40.0
705,3,bbplayer-app/BBPlayer,TypeScript,484,24,932.0,10.0
706,3,OpenSQZ/GTPlanner,Python,268,55,271.0,9.0
707,3,electron/electron,C++,120476,17046,30120.0,1563.0
708,3,avivsinai/bitbucket-cli,Go,45,12,203.0,8.0
709,3,avivsinai/jenkins-cli,Go,29,3,106.0,5.0
710,3,timothywarner-org/agents2,Python,10,10,18.0,1.0
711,3,totocaster/arrowhead,Rust,34,5,98.0,2.0
712,3,Stage-11-Agentics/lattice,Python,24,2,411.0,2.0
713,3,ArcaneOrion/Alice-Single,Python,13,2,75.0,1.0
714,3,fastapi/fastapi,Python,96206,8859,6922.0,891.0
715,3,feast-dev/feast,Python,6797,1248,4380.0,349.0
716,3,felixAnhalt/opencode-worktree-session,TypeScript,21,0,19.0,2.0
717,3,frizynn/linkedin-cli,Python,18,5,2.0,1.0
718,3,gillkyle/agent-tail,TypeScript,81,5,65.0,3.0
719,3,huggingface/community-evals,Python,11,1,16.0,1.0
720,3,hypurrquant/perp-cli,TypeScript,17,3,196.0,2.0
721,3,inclusionAI/AEnvironment,Python,260,31,76.0,7.0
722,3,involvex/youtube-music-cli,TypeScript,248,10,199.0,4.0
723,3,apache/opendal-oli,Rust,21,2,173.0,29.0
724,3,jacob-bd/notebooklm-cli,Python,146,19,53.0,1.0
725,3,jacob-bd/notebooklm-mcp-cli,Python,2515,455,390.0,15.0
726,3,jdiegosierra/contributor-report,TypeScript,62,0,43.0,2.0
727,3,jewbetcha/opentrace,TypeScript,46,1,32.0,1.0
728,3,tallesborges/zdx,Rust,17,2,849.0,2.0
729,3,tamagui/tamagui,TypeScript,13810,588,15085.0,239.0
730,3,TypiCMS/Base,PHP,1609,497,2432.0,14.0
731,3,UnboundedWeb/vue-markdown-next,TypeScript,11,0,88.0,3.0
732,3,Ataraxy-Labs/agent-electrobun,TypeScript,13,1,2.0,1.0
733,3,thedaviddias/souls-directory,TypeScript,69,2,19.0,1.0
734,3,k-kolomeitsev/data-structure-protocol,Python,23,1,4.0,1.0
735,3,keboola/osiris,Python,15,2,486.0,2.0
736,3,ant-design/ant-design,TypeScript,97703,54560,31631.0,2675.0
737,3,antvis/Infographic,TypeScript,4612,329,333.0,16.0
738,3,koaning/scikit-mdn,Python,25,5,31.0,6.0
739,3,laravel/boost,PHP,3333,292,871.0,78.0
740,3,lnxjedi/gopherbot,Go,61,10,2438.0,9.0
741,3,longbridge/longbridge-terminal,Rust,617,40,35.0,2.0
742,3,luispedro/jug,Python,460,62,1005.0,21.0
743,3,JetBrains/teamcity-cli,Go,46,4,254.0,5.0
744,3,magicseek/nblm,Python,25,2,152.0,3.0
745,3,alonw0/llm-docs-optimizer,Python,52,1,3.0,1.0
746,3,marcus/td,Go,153,17,641.0,8.0
747,3,srtab/daiv,Python,17,2,1123.0,12.0
748,3,stablyai/agent-slack,TypeScript,334,27,180.0,15.0
749,3,subframe7536/kysely-sqlite-builder,TypeScript,18,2,145.0,2.0
750,3,superhq-ai/shuru,Rust,550,9,83.0,1.0
751,3,IJONIS/geo-lint,TypeScript,15,1,29.0,1.0
752,3,ImGoodBai/goodable,TypeScript,161,34,130.0,3.0
753,3,mazrean/kessoku,Go,125,1,174.0,3.0
754,3,merylldindin/helix,Python,13,0,1252.0,3.0
755,3,microsoft/WindowsAppSDK,C++,4457,423,1861.0,126.0
756,3,microsoft/agent-framework,Python,7929,1312,1683.0,106.0
757,3,microsoft/conductor,Python,15,2,31.0,6.0
758,3,minitap-ai/mobile-use,Python,2311,191,861.0,14.0
759,3,modality-org/modality,Rust,18,1,837.0,6.0
760,3,soimy/atlasify,Python,35,5,103.0,3.0
761,3,solana-foundation/connectorkit,TypeScript,57,12,117.0,4.0
762,3,navikt/copilot,TypeScript,19,6,220.0,12.0
763,3,neondatabase/ai-rules,TypeScript,81,9,70.0,9.0
764,3,nesquikm/mcp-rubber-duck,TypeScript,141,21,170.0,4.0
765,3,nicepkg/vsync,TypeScript,28,1,240.0,3.0
766,3,nrwl/nx-console,TypeScript,1395,239,2031.0,85.0
767,3,offgrid-ing/arp,Rust,52,6,66.0,2.0
768,3,EvoScientist/EvoScientist,Python,29,0,343.0,6.0
769,3,onukura/oss-sustain-guard,Python,18,0,337.0,3.0
770,3,open-circle/formisch,TypeScript,626,18,307.0,12.0
771,3,open-metadata/OpenMetadata,TypeScript,8920,1676,15673.0,421.0
772,3,openakita/openakita,Python,1219,150,1312.0,7.0
773,3,openshift-online/maestro,Go,17,33,420.0,17.0
774,3,opsmill/infrahub,Python,434,43,13976.0,55.0
775,3,oritwoen/boha,Rust,10,5,98.0,2.0
776,3,agent-sandbox/agent-sandbox,Go,77,8,62.0,2.0
777,3,ryaker/zora,TypeScript,25,2,315.0,4.0
778,3,seed-hypermedia/seed,TypeScript,48,8,3942.0,7.0
779,3,ChainSafe/lodestar,TypeScript,1405,439,11116.0,149.0
780,3,Charlie85270/Dorothy,TypeScript,203,30,161.0,4.0
781,3,sfc-gh-dflippo/snowflake-dbt-demo,Python,31,8,301.0,2.0
782,3,Shopify/shopify-app-js,TypeScript,506,210,6575.0,129.0
783,3,pnsk-lab/hikkaku,TypeScript,52,3,230.0,12.0
784,3,DenisSergeevitch/youtube-poop-video-maker,Python,28,0,5.0,1.0
785,3,adelpro/quran-search-engine,Python,19,37,26.0,1.0
786,3,pymc-labs/decision-hub,Python,37,3,449.0,6.0
787,3,DGouron/review-flow,TypeScript,27,6,257.0,5.0
788,3,rejot-dev/thalo,TypeScript,12,0,152.0,2.0
789,3,ConstantineB6/comfy-pilot,Python,131,26,47.0,2.0
790,3,brandonwise/humanizer,JavaScript,21,1,13.0,3.0
791,3,Rainnny7/RESTfulMC,Java,22,1,821.0,4.0
792,3,boshu2/gastown-operator,Go,18,1,309.0,11.0
793,3,cadamsdev/restman,TypeScript,33,1,76.0,1.0
794,3,callstack/react-native-testing-library,TypeScript,3346,278,1209.0,136.0
795,3,withastro/flue,TypeScript,145,5,31.0,2.0
796,3,wrenfix/oag,JavaScript,13,3,16.0,1.0
797,3,xiaoiver/infinite-canvas-tutorial,TypeScript,928,53,699.0,7.0
798,3,xiaowanjiagit/linuxdo,JavaScript,52,23,2.0,1.0
799,3,youware-labs/pai-agent-sdk,Python,16,4,144.0,2.0
800,3,0verL1nk/PaperSage,Python,32,7,80.0,2.0
801,2,prose-kit/prose-kit,JavaScript,27,12,2.0,1.0
802,2,DevExpGbb/gh-devlake,Go,14,4,103.0,4.0
803,2,wecode-ai/Wegent,Python,481,71,1242.0,34.0
804,2,mihai-dinculescu/tapo,Rust,730,74,470.0,14.0
805,2,karaage0703/ai-assistant-workspace,Python,12,2,8.0,1.0
806,2,GoogleCloudPlatform/gke-mcp,Go,130,53,137.0,21.0
807,2,contember/okena,Rust,16,1,578.0,6.0
808,2,DwainTR/superpowers-copilot,JavaScript,10,0,2.0,1.0
809,2,1amageek/swift-skeleton,C,14,0,14.0,1.0
810,2,EasyCorp/EasyAdminBundle,PHP,4271,1095,8194.0,633.0
811,2,ruska-ai/orchestra,TypeScript,10,1,1086.0,3.0
812,2,Code-MonkeyZhang/mini-agent-ts,TypeScript,10,1,84.0,2.0
813,2,kubeshark/kubeshark,Go,11822,519,2200.0,50.0
814,2,GraflowAI/graflow,Python,36,0,419.0,1.0
815,2,paralleldrive/riteway,JavaScript,1169,38,606.0,34.0
816,2,branchbox/branchbox,Rust,63,4,306.0,5.0
817,2,G-Core/gcore-python,Python,40,2,731.0,9.0
818,2,mindspore-ai/akg,Python,248,45,2337.0,103.0
819,2,byteowlz/oqto,Rust,34,2,481.0,1.0
820,2,mono/SkiaSharp.Extended,C#,259,73,355.0,19.0
821,2,boogy/iam-policy-validator,Python,10,1,203.0,2.0
822,2,bostonaholic/reflect,TypeScript,36,7,256.0,5.0
823,2,cago-frame/cago,Go,13,2,219.0,2.0
824,2,mpecan/tokf,Rust,121,10,249.0,7.0
825,2,msgbyte/cutia,TypeScript,300,50,140.0,1.0
826,2,msgbyte/tianji,TypeScript,3015,188,2061.0,15.0
